"solar cost $/MW","battery cost $/MWh","load cost $/MW","arraysize (MW)","battery size (MWh)","load size (1 MW by definition)","array cost $","battery cost $","load cost $ (all normalized to 1 MW)","total power system cost $","total system cost $","total system cost per utilization","battery size relative to 1 MW array","load size relative to 1 MW array","annual battery utilization","annual load utilization"
200000,200000,5.011872336272725e6,6.652413770524656,13.606256769932756,1.,1.3304827541049311e6,2.721251353986551e6,5.011872336272725e6,4.051734108091482e6,9.063606444364207e6,9.928326319496833e6,2.045311256828162,0.15032137724667313,0.9012176560121765,0.9129037616909785
200000,200000,6.309573444801937e6,6.951932380159253,13.935709408190206,1.,1.3903864760318506e6,2.787141881638041e6,6.309573444801937e6,4.177528357669892e6,1.0487101802471828e7,1.1341468329377932e7,2.0045806901060463,0.14384489740636577,0.9155251141552512,0.92466879048694
200000,200000,7.943282347242822e6,7.227874305768479,14.272074059906828,1.,1.4455748611536957e6,2.8544148119813656e6,7.943282347242822e6,4.299989673135061e6,1.2243272020377882e7,1.3099240200025886e7,1.9745880263186728,0.13835326372539603,0.9270452815829529,0.9346551275816506
200000,200000,1.e7,7.5117641275716895,14.53582847577128,1.,1.502352825514338e6,2.907165695154256e6,1.e7,4.409518520668594e6,1.4409518520668594e7,1.5287833946825283e7,1.9350752005668,0.13312452082055293,0.9363394216133942,0.9425480791319634
200000,200000,1.2589254117941676e7,7.929100014329075,14.768316922279617,1.,1.585820002865815e6,2.9536633844559235e6,1.2589254117941676e7,4.5394833873217385e6,1.7128737505263414e7,1.8021137552068107e7,1.8625464296819376,0.12611771805032726,0.9454242770167428,0.9504803709407189
200000,200000,1.584893192461114e7,8.203813738720493,14.90083282789568,1.,1.6407627477440985e6,2.980166565579136e6,1.584893192461114e7,4.620929313323234e6,2.0469861237934373e7,2.143838442186213e7,1.8163299780401507,0.1218945275756547,0.9503805175038051,0.9548229397855144
200000,200000,1.995262314968881e7,8.587350524502336,15.118928779295882,1.,1.7174701049004672e6,3.023785755859176e6,1.995262314968881e7,4.741255860759644e6,2.4693879010448456e7,2.571770922555534e7,1.7606045934839805,0.11645035301012743,0.956982496194825,0.9601896807321579
200000,200000,2.511886431509582e7,9.368134380987549,15.425548534746113,1.,1.8736268761975097e6,3.085109706949223e6,2.511886431509582e7,4.958736583146732e6,3.007760089824255e7,3.1083464676115565e7,1.6465977010376764,0.10674483940254754,0.9657534246575342,0.9676399079589761
200000,200000,3.1622776601683795e7,10.242877280295975,15.481060138440032,1.,2.0485754560591949e6,3.0962120276880064e6,3.1622776601683795e7,5.144787483747201e6,3.6767564085430995e7,3.778947010683617e7,1.5113975999908393,0.09762881782481966,0.9714897260273972,0.9729579160936606
200000,200000,3.981071705534973e7,11.107959863873528,15.434835269969165,1.,2.221591972774706e6,3.086967053993833e6,3.981071705534973e7,5.308559026768539e6,4.511927608211827e7,4.617958956489283e7,1.3895292618195314,0.09002553234390996,0.9757039573820395,0.9770393480590691
200000,200000,5.011872336272725e7,9.73758397391962,18.4671405914265,1.,1.947516794783924e6,3.6934281182852997e6,5.011872336272725e7,5.640944913069224e6,5.575966827579647e7,5.700340663450634e7,1.8964807534278973,0.10269487818316345,0.9771784627092847,0.9781813327985036
200000,200000,6.309573444801936e7,10.989070143896148,17.97649170284512,1.,2.1978140287792296e6,3.595298340569024e6,6.309573444801936e7,5.793112369348254e6,6.888884681736761e7,7.011928997831722e7,1.6358519390132493,0.09099951014103295,0.9817161339421613,0.9824521446048571
200000,200000,7.943282347242822e7,13.746438332914888,15.982010440012017,1.,2.7492876665829774e6,3.1964020880024033e6,7.943282347242822e7,5.945689754585381e6,8.53785132270136e7,8.643615949600354e7,1.162629188227194,0.07274611617800443,0.9870814307458143,0.9877638447247434
200000,200000,1.e8,13.223929784898639,19.147986380034542,1.,2.644785956979728e6,3.8295972760069086e6,1.e8,6.474383232986636e6,1.0647438323298663e8,1.0745453598700686e8,1.447980040086194,0.07562048621446647,0.9903253424657534,0.990878442263817
