"solar cost $/MW","battery cost $/MWh","load cost $/MW","arraysize (MW)","battery size (MWh)","load size (1 MW by definition)","array cost $","battery cost $","load cost $ (all normalized to 1 MW)","total power system cost $","total system cost $","total system cost per utilization","battery size relative to 1 MW array","load size relative to 1 MW array","annual battery utilization","annual load utilization"
200000,200000,10000.,1.2658403604210504,0.,1.,253168.0720842101,0.,10000.,253168.0720842101,263168.0720842101,1.051619081695134e6,0.,0.7899890312135212,0.0042713089802129955,0.2502503774085215
200000,200000,12589.254117941673,1.2791950120254252,0.,1.,255839.00240508505,0.,12589.254117941673,255839.00240508505,268428.25652302674,1.0618330116596615e6,0.,0.78174163485569,0.00514649923896493,0.25279705337421104
200000,200000,15848.931924611135,1.2954167222676303,0.,1.,259083.34445352605,0.,15848.931924611135,259083.34445352605,274932.2763781372,1.0745309093949094e6,0.,0.7719523631357,0.006621004566209954,0.2558626038342231
200000,200000,19952.623149688796,1.3111872486996543,0.,1.,262237.44973993086,0.,19952.623149688796,262237.44973993086,282190.0728896197,1.0903555289418092e6,0.,0.7626675755058872,0.008219178082191747,0.2588055596540014
200000,200000,25118.8643150958,1.3354689064215821,0.,1.,267093.78128431644,0.,25118.8643150958,267093.78128431644,292212.64559941227,1.1099936990481548e6,0.,0.7488006610947773,0.011168188736681794,0.26325613005730697
200000,200000,31622.776601683796,1.3474401334474293,0.,1.,269488.0266894859,0.,31622.776601683796,269488.0266894859,301110.8032911697,1.1345124330049467e6,0.,0.7421479998829316,0.012804414003044107,0.26540987523039056
200000,200000,39810.717055349734,1.3851311495066223,0.,1.,277026.22990132443,0.,39810.717055349734,277026.22990132443,316836.94695667416,1.1648915644875814e6,0.,0.721953296881812,0.018968797564687945,0.27198836064715265
200000,200000,50118.723362727236,1.3917422172624427,0.,1.,278348.4434524886,0.,50118.723362727236,278348.4434524886,328467.16681521584,1.2027032076512373e6,0.,0.7185238671332398,0.02019596651445954,0.27310741729597643
200000,200000,63095.734448019335,1.4223374208187745,0.,1.,284467.4841637549,0.,63095.734448019335,284467.4841637549,347563.21861177427,1.249590788117281e6,0.,0.7030680521815603,0.025789573820395706,0.2781416299774719
200000,200000,79432.82347242816,1.4542833907752801,0.,1.,290856.678155056,0.,79432.82347242816,290856.678155056,370289.5016274842,1.30780781441577e6,0.,0.687623888399701,0.03211567732115672,0.28313755090452775
