,solar cost $/MW,battery cost $/MWh,load cost $/MW,arraysize (MW),battery size (MWh),load size (1 MW by definition),array cost $,battery cost $,load cost $ (all normalized to 1 MW),total power system cost $,total system cost $,total system cost per utilization,battery size relative to 1 MW array,load size relative to 1 MW array,annual battery utilization,annual load utilization
21,200000,200000,1258925.4117941675,3.4269999999999965,0.0,1.0,685399.9999999993,0.0,1258925.4117941675,685399.9999999993,1944325.4117941668,6070299.087642069,0.0,0.2918004085205722,0.0,0.32030141904415055
22,200000,200000,1584893.1924611141,4.135000000000002,0.06400000000000002,1.0,827000.0000000003,12800.000000000004,1584893.1924611141,839800.0000000003,2424693.1924611144,7040876.658493506,0.26464000000000015,0.241837968561064,0.30596461187214613,0.37363961905050624
23,200000,200000,1995262.3149688807,5.564000000000005,0.15100000000000002,1.0,1112800.0000000012,30200.000000000004,1995262.3149688807,1143000.0000000012,3138262.314968882,7950351.091697563,0.8401640000000009,0.17972681524083375,0.4614345509893455,0.5085306004147322
24,200000,200000,2511886.4315095823,6.564000000000005,0.21200000000000008,1.0,1312800.0000000012,42400.000000000015,2511886.4315095823,1355200.0000000012,3867086.4315095833,8748782.837680288,1.3915680000000017,0.1523461304082875,0.6073915525114155,0.6459797901908003
25,200000,200000,3162277.6601683795,6.564000000000005,0.24600000000000005,1.0,1312800.0000000012,49200.00000000001,3162277.6601683795,1362000.0000000012,4524277.6601683805,9734388.310033211,1.6147440000000015,0.1523461304082875,0.6391362252663623,0.6774861833455956
26,200000,200000,3981071.705534973,6.564000000000005,0.27100000000000013,1.0,1312800.0000000012,54200.00000000003,3981071.705534973,1367000.0000000012,5348071.705534974,10915389.06909832,1.7788440000000023,0.1523461304082875,0.6618531202435312,0.698934143385985
27,200000,200000,5011872.336272725,7.563999999999993,0.21100000000000008,1.0,1512799.9999999986,42200.000000000015,5011872.336272725,1554999.9999999986,6566872.336272724,12024372.223898645,1.5960039999999989,0.1322051824431519,0.715372907153729,0.743415707782739
28,200000,200000,6309573.444801937,6.564000000000005,0.28200000000000014,1.0,1312800.0000000012,56400.00000000003,6309573.444801937,1369200.0000000012,7678773.444801938,14225058.171800666,1.8510480000000022,0.1523461304082875,0.6723934550989346,0.7066705202745378
29,200000,200000,7943282.347242822,6.564000000000005,0.28700000000000014,1.0,1312800.0000000012,57400.00000000003,7943282.347242822,1370200.0000000012,9313482.347242823,16533030.772532536,1.8838680000000023,0.1523461304082875,0.676322298325723,0.709441869371549
30,200000,200000,10000000.0,6.564000000000005,0.29300000000000015,1.0,1312800.0000000012,58600.00000000003,10000000.0,1371400.0000000012,11371400.000000002,19426343.166702434,1.9232520000000024,0.1523461304082875,0.6802035768645358,0.7123134347445436
31,200000,200000,12589254.117941676,6.564000000000005,0.30200000000000016,1.0,1312800.0000000012,60400.00000000003,12589254.117941676,1373200.0000000012,13962454.117941678,23052136.360518612,1.9823280000000025,0.1523461304082875,0.6849695585996955,0.7159620287778992
32,200000,200000,15848931.92461114,7.563999999999993,0.24300000000000016,1.0,1512799.9999999986,48600.00000000003,15848931.92461114,1561399.9999999986,17410331.92461114,26402181.62761375,1.8380519999999994,0.1322051824431519,0.7403443683409436,0.7629042658029626
33,200000,200000,19952623.14968881,7.563999999999993,0.2500000000000001,1.0,1512799.9999999986,50000.00000000002,19952623.14968881,1562799.9999999986,21515423.14968881,31771441.061887853,1.890999999999999,0.1322051824431519,0.7441019786910198,0.7656602010057945
34,200000,200000,25118864.31509582,7.563999999999993,0.2560000000000001,1.0,1512799.9999999986,51200.00000000002,25118864.31509582,1563999.9999999986,26682864.31509582,38508370.848112404,1.9363839999999988,0.1322051824431519,0.7468036529680365,0.7676519514910829
35,200000,200000,31622776.601683795,8.564999999999966,0.20700000000000007,1.0,1712999.9999999932,41400.000000000015,31622776.601683795,1754399.9999999932,33377176.601683788,45446597.82679964,1.7729549999999934,0.11675423234092283,0.7840277777777778,0.800342605519194
36,200000,200000,39810717.05534973,8.564999999999966,0.21100000000000008,1.0,1712999.9999999932,42200.000000000015,39810717.05534973,1755199.9999999932,41565917.05534972,55668391.713604614,1.8072149999999934,0.11675423234092283,0.7855783866057838,0.8015226410689585
37,200000,200000,50118723.36272725,9.564999999999966,0.17500000000000004,1.0,1912999.9999999932,35000.00000000001,50118723.36272725,1947999.9999999932,52066723.36272724,66812558.169344105,1.6738749999999945,0.10454783063251474,0.8140981735159817,0.8266985691182591
38,200000,200000,63095734.44801936,9.564999999999966,0.19500000000000006,1.0,1912999.9999999932,39000.000000000015,63095734.44801936,1951999.9999999932,65047734.448019356,82432943.71904439,1.865174999999994,0.10454783063251474,0.8200818112633181,0.8319102913120414
39,200000,200000,79432823.47242822,9.564999999999966,0.24100000000000016,1.0,1912999.9999999932,48200.00000000003,79432823.47242822,1961199.9999999932,81394023.47242822,101934715.58005524,2.3051649999999935,0.10454783063251474,0.8303367579908676,0.841279672282789
40,200000,200000,100000000.0,10.564999999999966,0.19200000000000006,1.0,2112999.999999993,38400.000000000015,100000000.0,2151399.999999993,102151400.0,123709672.00863293,2.028479999999994,0.09465215333648871,0.8508561643835616,0.8600716218257779
